"Description_1";"Description_2";"id"
"Boston Bourbon Mary";" Bourbon";284.0
"Boston Bullet";" gin, dry vermouth";285.0
"Boston Club Cocktail";" gin, lime juice, sweet vermouth";286.0
"Boston Cooler";" white rum, lemon juice, brandy, sugar or soda";287.0
"Boston Egg Nog";" Madeira, brandy, egg yolk, Jamaican rum, sugar";288.0
"Boston Flip";" Madeira, Bourbon or rye whiskey, egg, sugar";289.0
"Bostonian Cocktail";" sprig of mint, gin, sweet vermouth, orange juice, lemon juice, sugar";290.0
"Boulevard Cocktail";" gin, orange juice, sweet vermouth";291.0
"Boulevard Cocktail #2";" pastis, sweet vermouth, Angostura bitters";292.0
"Bourbon Collins";" Bourbon, lemon juice, sugar, Peychaud bitters";293.0
"Bourbon Eggnog";" Bourbon, cream, white rum, egg, sugar";294.0
"Bourbon Lancer";" Bourbon, sugar, Angostura bitters";295.0
"Bourbonnaise Cocktail";" Bourbon, crème de cassis, dry vermouth, lemon juice";296.0
"Bourbon Squash";" Bourbon, orange juice, lemon juice, sugar";297.0
"Bracer Cocktail";" pastis, sweet vermouth, Angostura bitters";298.0
"Bracer Hiball";" brandy, egg, lemon juice, anisette, sugar, Angostura bitters";299.0
"Brain Duster Cocktail";" pastis, Cognac, Angostura bitters";300.0
"Brandied Apricot Cocktail";" brandy, lemon juice, apricot flavored brandy";301.0
"Brandied Apricot Flip";" brandy, apricot flavored brandy, egg, sugar";302.0
"Brandied Banana Collins";" brandy, lemon juice, crème de banane";303.0
"Brandied Cordial Medoc";" brandy, Cordial Medoc, lemon juice";304.0
"Brandied Ginger Cocktail";" brandy, ginger-flavored brandy liqueur, orange juice, lime juice";305.0
"Brandied Peach Fizz";" brandy, lemon juice, peach-flavored brandy liqueur, banana cordial, sugar";306.0
"Brandied Peach Sling";" brandy, lemon juice, peach-flavored brandy liqueur, sugar";307.0
"Brandied Port Cocktail";" lemon juice, brandy, Port, maraschino liqueur";308.0
"Brandtini";" brandy, gin, dry vermouth";309.0
"Brandyamer Cocktail";" brandy, Amer Picon";310.0
"Brandy Apricot Frappe";" brandy, apricot flavored brandy, crème de noyeau";311.0
"Brandy Berry Fix";" brandy, lemon juice, strawberry-flavored liqueur, water or sugar";312.0
"Brandy Buck";" brandy, lemon juice";313.0
"Brandy Champarelle";" Curaçao, Cognac, Angostura bitters";314.0
"Brandy Champarelle Variation";" brandy, Curaçao, anisette, Yellow Chartreuse";315.0
"Brandy Crusta";" brandy, lemon wheel, Curaçao, lemon juice, maraschino liqueur, aromatic bitters";316.0
"Brandy Fancy Cocktail";" brandy, maraschino liqueur, Angostura bitters, orange bitters";317.0
"Brandy Fino Cocktail";" brandy, Drambuie, cocktail Sherry";318.0
"Brandy Float";" brandy";319.0
"Brandy Hot";" brandy, water or sugar";320.0
"Brandy Julep";" sprig of mint, brandy, sugar";321.0
"Brandy Melba Cocktail";" brandy, lemon juice, grenadine, peach-flavored brandy liqueur, orange bitters";322.0
"Brandy Mint Fizz";" brandy, lemon juice, crème de cacao, crème de menthe, sugar";323.0
"Brandy Puff";" milk, brandy";324.0
"Brandy Punch";" brandy, white rum, Curaçao, sugar";325.0
"Brandy Punch Variation";" brandy, Benedictine, sugar";326.0
"Brandy Scaffa";" brandy, maraschino liqueur, Angostura bitters";327.0
"Brandy Scaffa Variation";" brandy, maraschino liqueur, green Chartreuse";328.0
"Brandy Special Cocktail";" brandy, Curaçao, aromatic bitters";329.0
"Brandy Zoom";" brandy, cream, honey";330.0
"Brandt Cocktail";" brandy, crème de menthe, aromatic bitters";331.0
"Breakfast Cocktail";" gin, egg white, grenadine";332.0
"Breck And Brace";" Cognac";333.0
"Brett's Own Cocktail";" sweet vermouth, pastis";334.0
"Brighton Punch";" orange juice, lemon juice, Benedictine, Cognac, Bourbon";335.0
"Brittany Cocktail";" gin, Amer Picon, lemon juice, orange juice";336.0
"Broadmoor Cooler";" white rum, lime juice, crème de menthe";337.0
"Broadway Smile";" Cointreau, Swedish Punch/Punsch, crème de cassis";338.0
"Broadway Special Cocktail";" egg white, gin, sweet vermouth, pineapple juice, grenadine";339.0
"Broken Leg";" apple juice, Bourbon";340.0
"Bronx Discotheque";" gin, orange juice, Galliano, dry vermouth, sweet vermouth";341.0
"Bronx Pineapple Cocktail";" gin, pineapple juice, dry vermouth, sweet vermouth";342.0
"Bronx River Cocktail";" gin, lemon juice, sweet vermouth, sugar";343.0
"Brooklyn Cocktail";" Bourbon or rye whiskey, dry vermouth, maraschino liqueur, Amer Picon";344.0
"Brooklynite Cocktail";" Jamaican rum, lime juice, honey, Angostura bitters";345.0
"Broussard's Orange Brulot";" sugar";346.0
"Brown Derby Cocktail";" dark rum, lime juice, maple syrup";347.0
"Brown Derby Cocktail #2";" Bourbon, grapefruit juice, honey";348.0
"Brown Shake Cocktail";" Curaçao, lemon juice, Angostura bitters";349.0
"Brown University Cocktail";" dry vermouth, Bourbon, orange bitters";350.0
"Brunelle Cocktail";" pastis, lemon juice, sugar";351.0
"Brunette";" cream, Bourbon, Kahlua, sugar";352.0
"Brunswick Sour";" Bacardi white rum, lime juice, sugar";353.0
"Brut Cocktail";" dry vermouth, Amer Picon, orange bitters, Angostura bitters";354.0
"Brut Cocktail Variation";" dry vermouth, Amer Picon, Peychaud bitters";355.0
"Buby Cocktail";" gin, lemon juice, grenadine";356.0
"Buckaroo";" Bourbon, Angostura bitters";357.0
"Bud's Special Cocktail";" Cointreau, cream, Angostura bitters";358.0
"Bughouse Cocktail";" Cognac, sweet vermouth, pastis";359.0
"Builder Upper";" lemon juice, Cognac, Benedictine";360.0
"Bulldog Cocktail";" cherry flavored brandy, gin, lime juice";361.0
"Bulldog Cooler";" gin, lemon juice, sugar";362.0
"Bulldog Hiball";" gin, orange juice";363.0
"Bulldozer";" vodka";364.0
"Bumble Bee Stinger";" brandy, Galliano, pastis";365.0
"Bumper Cocktail";" white rum, lemon juice, gin";366.0
"Bunny Bonanza";" Tequila, applejack, lemon juice, Curaçao, sugar";367.0
"Bunny Hug Cocktail";" Bourbon, pastis, gin";368.0
"Bunny Mother";" vodka, lemon juice, orange juice, Cointreau, grenadine, sugar";369.0
"Burrough's Old Fashioned";" Bourbon, water or sugar, Angostura bitters";370.0
"Bustanoby Cocktail";" crème de menthe, sugar, orange juice, Angostura bitters, orange bitters";371.0
"Buster Cocktail";" white rum, pastis";372.0
"Buster Brown Cocktail";" Bourbon, lemon juice, sugar, orange bitters";373.0
"Buttered Apple Grog";" apple juice, butter, dry vermouth, apple brandy";374.0
"Buttered Bourgin";" apple juice, butter, Bourbon, ginger-flavored brandy liqueur";375.0
"Butterfly Cocktail";" sweet vermouth, dry vermouth, orange juice, Dubonnet";376.0
"Butterfly Milk Punch";" milk, Cognac, crème de cacao, sugar, Angostura bitters";377.0
"B.v.d. Cocktail";" apple brandy, sweet vermouth";378.0
"B.v.d. Cocktail #2";" dry vermouth, white rum, gin";379.0
"B.v.d. Cocktail #3";" dry vermouth, Dubonnet, white rum";380.0
"Byculla Cocktail";" Port, cocktail Sherry, ginger-flavored brandy liqueur, Curaçao";381.0
"Byrrh Brandy Cocktail";" Cognac, dry vermouth, Byrrh";382.0
"Byrrh Cassis";" Byrrh, crème de cassis";383.0
"Byrrh Cassis Cooler";" Byrrh, crème de cassis";384.0
"Byrrh Cocktail";" Bourbon or Bourbon or blended Scotch or rye whiskey, dry vermouth, Byrrh";385.0
"Byrrh Special Cocktail";" old tom gin, Byrrh";386.0
"Cactus Banger";" Tequila, Galliano";387.0
"Cafe Aux Cognac";" Cognac";388.0
"Cafe Cocktail";" coffee, Cognac, crème de cacao, sugar";389.0
"Cafe Curacao";" Kahlua, Curaçao";390.0
