"Description_1";"Description_2";"id"
"Cafe Galliano";" coffee, brandy, Galliano";391.0
"Cafe Grogg";" Jamaican rum, sugar, brandy";392.0
"Cafe Kirsch";" coffee, kirsch, egg white, sugar";393.0
"Cafe Kirsch Variation";" coffee, kirsch, Cognac";394.0
"Cafe Pucci";" amaretto, Trinidad rum";395.0
"Caliente Cocktail";" egg white, gin, cream, lemon juice, sugar";396.0
"Caliente Cocktail #2";" gin, lime juice, sugar, Angostura bitters";397.0
"California Eggnog";" cream, white rum, brandy, Bourbon, egg";398.0
"Californian Cocktail";" orange juice, sweet vermouth, blended whiskey, orgeat";399.0
"California Sunshine";" orange juice";400.0
"Calisay Cocktail";" sweet vermouth, Calisay liqueur, simple syrup";401.0
"Calisaya Cocktail";" Bourbon, Calisay liqueur";402.0
"Calvados Cocktail";" Calvados, orange juice, Cointreau, orange bitters";403.0
"Calvados Fizz";" lemon juice, Calvados, egg white, cream, sugar";404.0
"Calvados Sour";" Calvados, lemon juice, sugar";405.0
"Calypso Cooler";" white rum, lime juice, pineapple juice, sugar";406.0
"Camel Juice";" brandy, Kahlua, Galliano, coffee, white rum";407.0
"Cameron's Cocktail";" blended Scotch, lime juice, orgeat";408.0
"Campden Cocktail";" Lillet Blanc, Cointreau, gin";409.0
"Campexport";" liqueur or Campari, dry vermouth, Campari, gin";410.0
"Canadian Apple";" Canadian whiskey, lemon juice, apple brandy or Calvados, sugar";411.0
"Canadian Black Fix";" Canadian whiskey, lemon juice, blackberry flavored brandy, water or sugar";412.0
"Canadian Cherry";" Canadian whiskey, Cherry Heering, orange juice, lemon juice";413.0
"Canadian Daisy";" Canadian whiskey, lemon juice, raspberry syrup or grenadine, Metaxa";414.0
"Canadian Grenadier";" Canadian whiskey, lemon sherbet, grenadine";415.0
"Canadian Old Fashioned";" Canadian whiskey, lemon juice, Curaçao, Angostura bitters";416.0
"Canadian Stave";" egg white, Canadian whiskey, Dubonnet, lemon juice, Angostura bitters";417.0
"Can Can";" vodka";418.0
"Cancomp";" Canadian whiskey, dry vermouth, Campari";419.0
"Candy";" orange sherbet, brandy, Galliano, maraschino liqueur";420.0
"Canton Cocktail";" Jamaican rum, Curaçao, maraschino liqueur, grenadine";421.0
"Canvas Back";" Bourbon, sweet vermouth, Curaçao, gin, lemon juice, Angostura bitters";422.0
"Cape Cocktail";" gin, orange juice, Dubonnet";423.0
"Capetown Cocktail";" rye whiskey, Dubonnet, Curaçao, Angostura bitters";424.0
"Captain Kidd Cocktail";" Jamaican rum, blended Scotch, cocktail Sherry, orange bitters";425.0
"Captain's Blood Cocktail";" Jamaican rum, lime juice, falernum, sugar, Angostura bitters";426.0
"Carabini";" orange juice, lime juice, Galliano, crème de noyeau";427.0
"Cardinal's Cocktail";" white rum, lime juice, orgeat, triple sec, grenadine";428.0
"Carib Cocktail";" lemon juice, gin, white rum, sugar";429.0
"Caribbean";" lime juice, orange juice, white rum, Galliano";430.0
"Caribbean Caper";" coconut milk, Jamaican rum";431.0
"Caribbean Hot Swizzle";" lime wheel, Jamaican rum, lime juice, sugar";432.0
"Caribbean Joy Cocktail";" blended Scotch, lime juice, Cointreau, sugar";433.0
"Caribe Cocktail";" Bacardi white rum, pineapple juice, lemon juice";434.0
"Caribe Welcome";" pineapple juice, coconut cream, apricot flavored brandy, white rum";435.0
"Carlton Cocktail";" Bourbon, orange juice, Cointreau";436.0
"Carthusian Cooler";" Bourbon, Yellow Chartreuse";437.0
"Casey's Cannonball";" Okolehao, Curaçao";438.0
"Cason Cocktail";" gin, lemon juice, Swedish Punch/Punsch, apple brandy or Calvados, grenadine";439.0
"Cassisco";" brandy, crème de cassis";440.0
"Cassis Kirsch Hiball";" crème de cassis, kirsch";441.0
"Cassisman";" Bourbon, crème de cassis, dry vermouth";442.0
"Cassisoda";" crème de cassis, Angostura bitters";443.0
"Castle Dip Cocktail";" apple brandy, crème de menthe, pastis";444.0
"Catamaran";" pineapple juice, gold rum, vodka, lemon juice, sugar, grenadine";445.0
"Caterpillar";" Bourbon, grape juice, Angostura bitters";446.0
"Caucasian";" vodka, Cointreau, Curaçao or Cointreau";447.0
"Cavalier";" orange juice, Galliano, cream, Tequila";448.0
"Cecil (pick Me Up)";" brandy, egg yolk, sugar";449.0
"Cement Boot";" Cognac, Tia Maria, crème de menthe, crème de cacao, crème de cassis";450.0
"Ceon De Pau Cocktail";" dry vermouth, gin, Armagnac, yellow Izarra";451.0
"Ce Soir Ou Jamais (tonight Or Never)";" dry vermouth, gin, Cognac";452.0
"C'est Vert, Mais Juste (green But Right)";" gin, Cognac, crème de menthe, aromatic bitters";453.0
"Ceylon Cocktail";" cocktail Sherry, brandy, dry vermouth, lemon juice, triple sec";454.0
"C.f.h. Cocktail";" gin, grenadine, lemon juice, Swedish Punch/Punsch, apple brandy";455.0
"Champagne Buck";" gin, orange juice, cherry flavored brandy";456.0
"Champagne Cobbler";" ice, Curaçao, lemon juice";457.0
"Champagne Cooler";" Cointreau, brandy";458.0
"Champagne Fizz";" orange juice";459.0
"Champagne Fraise";" kirsch, raspberry syrup or grenadine";460.0
"Champagne Flip";" Champagne, egg yolk, brandy, sugar";461.0
"Champagne Julep";" brandy, ice, sprig of mint or water or sugar";462.0
"Champagne Manhattan";" blended whiskey, sweet vermouth, aromatic bitters";463.0
"Champagne Normandie";" Calvados, sugar, Angostura bitters";464.0
"Champagne Nut Cocktail";" crème de cacao, crème de noyeau";465.0
"Champagne Old Fashioned";" Grand Marnier, orange bitters";466.0
"Champagne Polonaise";" blackberry flavored brandy, Cognac";467.0
"Champagne Punch";" Curaçao, lemon juice, sugar";468.0
"Champagne Sour";" lemon juice, sugar";469.0
"Champagne Velvet";" Champagne, stout";470.0
"Champerelle";" Cognac, green Chartreuse, anisette, Curaçao";471.0
"Chancellor Cocktail";" blended Scotch, Port, dry vermouth, Peychaud bitters";472.0
"Chanticler Cocktail";" gin, lemon juice, egg white, grenadine";473.0
"Chaparra Cocktail";" sweet vermouth, white rum";474.0
"Chappelle Cocktail";" lime juice, gin, sweet vermouth, falernum";475.0
"Charleston Cocktail";" sweet vermouth, dry vermouth, kirsch, gin, Curaçao, maraschino liqueur";476.0
"Charleston Cocktail #2";" Bacardi white rum, gin, Dubonnet";477.0
"Charley Collins";" white rum, lime juice, sugar";478.0
"Charley Goodleg (tequila Banger)";" Tequila, Galliano";479.0
"Charley Pie Cocktail (see Negroni)";" gin, sweet vermouth, Campari";480.0
"Charlie Lindbergh Cocktail";" gin, Lillet Blanc, apricot flavored brandy, orange bitters";481.0
"Charlie O. Cocktail";" gin, dry vermouth, Cointreau, Grand Marnier";482.0
"Charme De Paris Cocktail";" sweet vermouth, white rum, anisette";483.0
"Chartreuse Champagne";" green Chartreuse, Cognac";484.0
"Chartreuseco Frappe";" Cognac, Yellow Chartreuse";485.0
"Chartreuse Cooler";" orange juice, green Chartreuse, lime juice";486.0
"Chatham Cocktail";" gin, lemon juice, ginger-flavored brandy liqueur";487.0
"Chatterly Cocktail";" gin, dry vermouth, Curaçao";488.0
"Chauncey Cocktail";" gin, rye whiskey, brandy, sweet vermouth, orange bitters";489.0
"Cheerio Cocktail";" Bourbon, Curaçao, maraschino liqueur";490.0
"Cherry Cocktail";" Cherry Heering, dry vermouth";491.0
"Cherry Banana";" Cheri Suisse, cream, crème de banane";492.0
"Cherry Champagne";" Cherry Heering";493.0
"Cherry Cobbler";" gin, lemon juice, Cherry Heering, sugar";494.0
"Cherry Ginger Frappe";" cherry liqueur, ginger-flavored brandy liqueur, kirsch";495.0
"Cherry Julep";" gin, lemon juice, cherry flavored brandy, sloe gin, sugar";496.0
"Cherry Mix";" sweet vermouth, dry vermouth, maraschino liqueur";497.0
"Cherry Rum Fix";" white rum, lemon juice, cherry liqueur, water or sugar";498.0
"Cherry Vodka";" vodka, lime juice, cherry flavored brandy or Cherry Heering or cherry Kijafa";499.0
"Chevalier Cocktail";" lemon juice, Cognac, Cointreau, Angostura bitters";500.0
"Chevoney";" Galliano, vanilla ice cream, vodka, Grand Marnier";501.0
"Chicago Martini";" gin, blended Scotch";502.0
"Chief's Calabash";" coconut milk, Okolehao, orgeat";503.0
"Chimp In Orbit";" orange juice, 151 proof rum, sweet vermouth, lemon juice, Curaçao, crème de cacao, grenadine";504.0
"China Cocktail";" gold rum, Curaçao, passion fruit syrup, grenadine, Angostura bitters";505.0
"China Clipper Cocktail";" yellow gin, dry vermouth, orange bitters, grapefruit juice";506.0
"Chinatown Cocktail";" gin, sweet vermouth, dry vermouth, brandy";507.0
"Chiquita Punch";" cream, orange juice, banana cordial, grenadine";508.0
"Chocolate Daisey";" Port, brandy, lemon juice, raspberry syrup";509.0
"Chocolate Orange Frappe";" orange juice, crème de cacao, Galliano";510.0
"Chorus Lady (or Girl) Cocktail";" orange juice, sweet vermouth, dry vermouth, gin";511.0
"Christophe Cocktail";" Haitian rum, gin, sugar";512.0
"Chrysanthemum Cocktail";" Benedictine, dry vermouth, pastis";513.0
"Churchill Cocktail";" blended Scotch, sweet vermouth, Cointreau, lime juice";514.0
"Church Parade";" London dry gin, orange juice, dry vermouth, Curaçao";515.0
"Cider Eggnog";" milk, egg, sugar";516.0
"Cider Fizz";" apple cider, gold rum, lemon juice, sugar";517.0
"Cider Nectar";" brandy, lemon juice, sugar";518.0
"Cigalon Cocktail";" white rum, sweet vermouth, maraschino liqueur, orange bitters";519.0
"Cincinnati";" beer";520.0
"Cinzano Cocktail";" Cinzano vermouth, Angostura bitters, orange bitters";521.0
"Coexistence Collins";" vodka, lemon juice, kummel, sugar";522.0
"Coffee Cobbler";" brandy, Port";523.0
"Coffee Eggnog";" milk, coffee-flavored liqueur, coffee, egg, sugar";524.0
"Coffee Fillip (iced)";" coffee or ice, coffee-flavored liqueur or Tia Maria";525.0
"Coffee Grand";" orange juice, coffee-flavored liqueur, Grand Marnier";526.0
"Coffee Merger";" brandy, coffee, Cointreau";527.0
"Coffee Nero";" Galliano";528.0
"Cognac Cocktail";" lemon juice, Cognac, Cointreau, orange bitters";529.0
"Cognac Mint Frappe";" Cognac, crème de menthe";530.0
"Cointreau Cocktail";" Cointreau, white rum, gin";531.0
"Cola Absent";" pastis";532.0
"Cola Cocktail";" Curaçao, gin, orange bitters";533.0
"Cold Irish Coffee";" Irish whiskey, Irish whiskey";534.0
"Cold Toddy";" Bourbon, lemon juice, sugar";535.0
"Colonel Cocktail";" Bourbon, grapefruit juice, apricot flavored brandy, sugar";536.0
"Colonel Appleton Cocktail";" brandy, rum, crème de menthe";537.0
"Colonel's Big One";" gin, Cointreau";538.0
"Colony Cocktail";" gin, dry vermouth, Liqueur d'Or, orange bitters";539.0
"Colorado Cocktail";" cream, kirsch, cherry flavored brandy";540.0
"Columbia Collins";" white rum, lemon juice, brown sugar";541.0
"Columbia Skin";" white rum, sugar, lemon juice, water, Curaçao";542.0
"Come Again Cocktail";" gin, sprig of mint, peach bitters";543.0
"Comforter Cocktail";" blended Scotch, lemon juice, Cointreau, sugar";544.0
"Commercial Club Gin Old Fashioned";" gin, coconut cream, Curaçao, grenadine, aromatic bitters";545.0
"Commodore Perry Cocktail";" white rum, lemon juice, egg white, grenadine, sugar";546.0
"Commonwealth Cocktail";" Canadian whiskey, Van der Hum or liqueur, lemon juice";547.0
"Commonweal Cocktail";" blended Scotch, ginger wine, lemon juice, maraschino liqueur";548.0
"Conch Shell";" white rum, lime juice";549.0
"Conditioner Cocktail";" Curaçao, white rum, pastis, egg yolk";550.0
"Confidential Cocktail";" dry vermouth, gin, cherry flavored brandy, Strega";551.0
"Congo";" white rum, coconut piece";552.0
"Connecticut Bullfrog";" gin, maple syrup, lemon juice, New England rum";553.0
"Consolation Cocktail";" gin, lemon juice, crème de menthe, Angostura bitters";554.0
"Continental Hiball";" pastis, sugar";555.0
"Continental Sour";" rye whiskey, lemon juice, claret, egg white, sugar";556.0
"Continental Sour Variation";" Bourbon, lemon juice, claret, sugar";557.0
"Cooch Behar";" pepper flavored vodka";558.0
"Cook's Town Cocktail";" pineapple juice, crème de menthe, gin";559.0
"Cool Colonel";" tea, Bourbon, Southern Comfort, lemon juice, sugar";560.0
"Cool Of The Evening";" crème de menthe or sprig of mint, white rum, lemon juice";561.0
"Cooper's Ranch Punch";" pineapple juice, guava nectar, white rum, lime juice, grenadine";562.0
"Coow Woow";" water, white rum, ginger";563.0
"Copenhagen Cocktail";" aquavit, gin, dry vermouth";564.0
"Copenhagen Cocktail #2";" aquavit, triple sec, lemon juice";565.0
"Copenhagen Highball";" lemon wheel or soda, Jamaican rum, Tom & Jerry mix";566.0
"Copenhagen Special Cocktail";" lemon juice, Swedish Punch/Punsch, aquavit";567.0
"Copper Mist";" liqueur or Irish whiskey";568.0
"Coral";" white rum, lemon juice, apricot liqueur, grapefruit juice";569.0
"Cordial Medoc Cocktail";" gin, dry vermouth, Cordial Medoc, lemon juice";570.0
"Cordial Medoc Cup";" lemon juice, Cordial Medoc, Cognac, sugar";571.0
"Cordial Medoc Sour";" Cordial Medoc, lemon juice";572.0
"Cordial Medoc Sour Variation";" gin, lemon juice, Cordial Medoc";573.0
"Cordova Cocktail";" gin, sweet vermouth, cream, pastis";574.0
"Cornell Special Cocktail";" gin, Benedictine, lemon juice, grenadine";575.0
"Corn Pepper";" corn whiskey, grenadine, egg white, cream";576.0
"Coronation Cocktail #2";" brandy, Curaçao, crème de menthe, peach bitters";577.0
"Colonel Batista Cocktail";" white rum, lemon juice, dry vermouth, sugar";578.0
"Coronet Cocktail";" gin, Port";579.0
"Corpse Reviver #1";" brandy, sweet vermouth, apple brandy";580.0
"Corpse Reviver #2";" lemon juice, Lillet Blanc, Cointreau, gin, pastis";581.0
"Corpse Reviver #2 Variation";" lemon juice, Swedish Punch/Punsch, Cointreau, gin, pastis";582.0
"Corpse Reviver Variation";" pastis, lemon juice";583.0
"Corvee";" Southern Comfort, sloe gin";584.0
"Cossack Cooler";" vodka";585.0
"Cota Cocktail";" gin, Cointreau, pastis";586.0
"Cote D'amerand";" yellow Izarra, Armagnac, gin, lemon juice";587.0
"Country Cocktail";" egg white, Port, brandy, lemon juice, sugar";588.0
"Country Club";" dry vermouth, grenadine";589.0
"Country Gentleman Cocktail";" apple brandy, lemon juice, Curaçao, sugar";590.0
"Country Life Cocktail";" Bourbon, Port, Jamaican rum, Angostura bitters, orange bitters";591.0
"Coup De Cafard Cocktail";" gin, sweet vermouth, Cognac, Curaçao, Port, Angostura bitters";592.0
"Coup De Roules Cocktail";" dry vermouth, gin, cherry flavored brandy, Cointreau";593.0
"Cranberry Delight";" cranberry sauce, vodka, Galliano";594.0
"Crawl Cocktail";" Cognac, crème de noyeau, white rum, Curaçao, Angostura bitters";595.0
"Cream Punch";" cream, Cognac, dark rum, lemon juice, sugar";596.0
"Creamy Driver";" orange juice, vodka, egg yolk, sugar";597.0
"Creole Fizz";" sloe gin, lemon juice, egg white, cream, sugar";599.0
"Crimson Cocktail";" gin, Port, lemon juice, sugar";600.0
"Crocker Cocktail";" gin, dry vermouth, sweet vermouth";601.0
"Croisette Cocktail";" dry vermouth, sweet vermouth, cherry flavored brandy, kirsch";602.0
"Croton Cocktail";" Bourbon, cocktail Sherry";603.0
"Crow Cocktail";" Bourbon or rye whiskey, lemon juice, grenadine, sugar";604.0
"Crux Cocktail";" lemon juice, Cointreau, Dubonnet, Cognac";605.0
"Crystal Bronx Hiball";" sweet vermouth, orange juice";606.0
"Crystal Rum Fizz";" white rum, mint candy";607.0
"Cubaine Cocktail";" Bacardi white rum, lemon juice, orange juice, sugar";608.0
"Cuba Libre Supreme";" Southern Comfort";609.0
"Cuban Banger";" Galliano, white rum";610.0
"Cubano";" dry vermouth, gin, Charbreux, kummel, pineapple juice";611.0
"Cubano #2";" white rum, lime juice, pineapple juice, sugar";612.0
"Cuban Presidente";" white rum, dry vermouth, grenadine, Curaçao";613.0
"Cuban Screw";" white rum";614.0
"Cucumber Cocktail";" cream, gin, crème de menthe";615.0
"Cucumber Cocktail Variation";" crème de menthe, cream";616.0
"Cucumber Cocktail Variation";" crème de menthe, crème de cacao";617.0
"Cucumber Champagne";" Benedictine, lemon juice";618.0
"Culprit Fey Cocktail";" cream, Cointreau, anisette, crème de menthe, gin";619.0
"Culross Cocktail";" lemon juice, dry vermouth, white rum, apricot flavored brandy";620.0
"Culross Cocktail Variation";" gold rum, Lillet Blanc, lime juice, apricot flavored brandy";621.0
"Cupid Cocktail";" cocktail Sherry, cayenne pepper, egg, sugar";622.0
"Curacao Cocktail";" orange juice, Curaçao, brandy, gin, orange bitters";623.0
"Curacao Cocktail #2";" Bourbon, lemon juice, Curaçao";624.0
"Curacao Cooler";" Curaçao, vodka, lemon juice, lime juice";625.0
"Curacao Punch";" Curaçao, brandy or rum, lemon juice";626.0
"Currier Cocktail";" blended whiskey, kummel, Rose's Lime Juice, lime juice";627.0
"Cutest One Cocktail";" cocktail Sherry, gin";628.0
"Da'barry Cocktail";" Seagram's V.O., Dubonnet, orange bitters";629.0
"Dallas Texan";" Bourbon, lime juice, grenadine, apricot flavored brandy";630.0
"Danish Bull";" aquavit, celery salt";631.0
"Danish Gin Fizz";" gin, lime juice, Cherry Heering, kirsch, sugar";632.0
"Danish Mary";" aquavit";633.0
"Danish Toddy";" aquavit, Cherry Heering, lemon juice";634.0
"Danny's Special Cocktail";" lemon juice, Bourbon, Cointreau, Grand Marnier";635.0
"Darby Cocktail";" gin, lime juice, grapefruit juice, sugar";636.0
"Daredevil Flip";" Port, egg, sugar, Angostura bitters";637.0
"Davis Cocktail";" Jamaican rum, dry vermouth, lime juice, raspberry syrup or grenadine";638.0
"Davis Brandy";" brandy, dry vermouth, grenadine, Angostura bitters";639.0
"Deceiver Cocktail";" gin, green Chartreuse, crème de menthe";640.0
"Dech Gerard's Cocktail";" gin, dry vermouth, pineapple juice";641.0
"Deep Purple Punch";" white rum, passion fruit syrup, grape juice, lime juice";642.0
"Del Monte Cocktail";" white rum, lemon juice, grenadine";643.0
"Delta Cocktail";" blended whiskey, lime juice, Southern Comfort, sugar";644.0
"Dely's Cocktail";" gin, crème de menthe, Crème Yvette";645.0
"Demeanor Cocktail";" sweet vermouth, old tom gin, crème de violette, orange bitters";646.0
"Demi Panache";" lemonade, beer";647.0
"De Mon Cure";" Calvados, Bacardi white rum, Cognac, lemon juice";648.0
"Denver Mint";" Bourbon, lime juice, crème de menthe, sugar";649.0
"Derby Rum Fix";" white rum, orange juice, lime juice, water, water or sugar";650.0
"De Rigueur Cocktail";" rye whiskey or Bourbon, honey, grapefruit juice";651.0
"Dernier Round Cocktail";" gin, dry vermouth, Cointreau, Cognac, Angostura bitters";652.0
"Desert Cooler";" orange juice, gin, cherry flavored brandy";653.0
"Desert Dream Cocktail";" crème de cacao, sweet vermouth, gin, egg white";654.0
"Desert Healer";" orange juice, gin, cherry flavored brandy";655.0
"Deshler Cocktail";" rye whiskey, Dubonnet, Cointreau, Peychaud bitters";656.0
"Dessalines Cocktail";" Haitian rum, lime juice, Bourbon or rye whiskey, clairin, sugar";657.0
